DataUse,Replication,Vegetation,N2O,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3
Building,R1,Corn,3.896741682,0.0,0.0,-2.0,276,241,0.666508316,11.04634,22.940812
Building,R1,Corn,2.190217677,0.0,0.0,-2.4,277,242,0.640607951,11.008087,22.959578
Building,R1,Corn,3.542594407,3.3,8.64,0.3,285,250,0.728085401,10.831669,23.221928
Building,R1,Corn,3.342869686,0.0,8.13,-3.8,286,251,0.686872352,10.849792,23.271978
Building,R1,Corn,2.947778441,1.02,8.39,17.6,312,277,0.716221441,10.204748,24.206855
Building,R1,Corn,2.146451291,1.02,8.39,19.1,313,278,0.70673345,10.103312,24.395334
Building,R1,Corn,1.60370384,0.0,35.81,2.2,326,291,0.71463608,9.531861,25.331995
Building,R1,Corn,0.0,6.35,7.11,3.3,327,292,0.711380518,9.549558,25.390144
Building,R1,Corn,1.277621517,50.04,50.8,6.8,344,309,0.726115095,9.229551,26.010741
Building,R1,Corn,1.941425653,2.29,52.84,10.7,347,312,0.718200724,9.344589,25.972378
Building,R1,Corn,4.400840943,3.56,28.71,14.1,362,327,0.781241726,8.891492,26.925199
Building,R1,Corn,3.101421441,1.27,23.88,15.1,363,328,0.770667167,8.796585,27.015723
Building,R1,Corn,2.247645854,0.0,21.85,13.5,364,329,0.775597074,8.789589,27.134424
Building,R1,Corn,2.470146627,2.03,6.1,13.6,365,330,0.728864268,9.990688,28.480817
Building,R1,Corn,0.0,2.03,6.1,12.6,1,331,0.681126974,10.950754,29.524831
Building,R1,Corn,2.452842456,1.27,3.3,15.0,5,335,0.731602393,14.928005,33.982728
Building,R1,Corn,2.110173535,0.0,1.27,17.5,10,340,0.659850887,18.592769,39.54431
Building,R1,Corn,0.0,0.0,4.06,22.9,21,351,0.621865085,14.745701,44.402872
Building,R1,Corn,-0.976532918,0.0,4.06,15.3,22,352,0.614940702,14.317023,43.926631
Building,R1,Corn,-1.152264849,0.0,4.06,10.0,23,353,0.614847573,14.357609,43.331614
Building,R1,Corn,3.332993782,0.0,32.51,17.5,27,357,0.693397976,13.294252,41.655353
Building,R1,Corn,0.665489242,0.0,32.51,15.2,28,358,0.677353975,12.906341,41.035709
Building,R1,Corn,0.422398471,0.0,32.51,16.9,29,359,0.66826405,12.348502,40.419408
Building,R1,Corn,0.786886848,0.0,32.51,19.0,30,360,0.663914323,11.760223,39.728069
Building,R1,Corn,-0.236694718,0.0,18.03,19.3,31,361,0.648967938,11.133487,38.862119
Building,R1,Corn,0.803407701,0.0,0.0,23.6,32,362,0.638687267,10.390381,37.884976
Building,R1,Corn,0.494750964,0.0,0.0,23.8,33,363,0.623960287,9.247829,35.723892
Building,R1,Corn,0.051470741,0.0,0.0,23.7,34,0,0.645484683,14.401476,39.827859
Building,R1,Corn,-0.573086367,0.0,0.0,19.6,35,1,0.640528534,17.186217,41.087404
Building,R1,Corn,0.0,0.0,0.0,15.6,36,2,0.630744582,19.708369,42.428295
Building,R1,Corn,-1.661657193,0.0,0.0,19.2,37,3,0.625008873,22.428504,44.86442
Building,R1,Corn,-1.316573969,0.0,0.0,22.6,38,4,0.613619536,24.963294,48.047538
Building,R1,Corn,2.576100578,0.0,0.0,24.4,39,5,0.601645874,27.248845,51.836638
Building,R1,Corn,0.769862597,0.76,0.76,22.4,40,6,0.587588752,29.211521,52.98137
Building,R1,Corn,0.92208048,2.04,2.8,28.9,42,8,0.573713743,31.59393,58.736882
Building,R1,Corn,0.603632682,1.02,2.8,27.8,43,9,0.552430752,33.413411,64.519755
Building,R1,Corn,3.923316606,1.52,4.32,20.8,45,11,0.5191741,37.928038,71.227026
Building,R1,Corn,2.54735377,1.52,4.32,20.9,46,12,0.505723399,38.95174,74.574142
Building,R1,Corn,1.993078376,0.0,3.56,23.6,47,13,0.488008504,39.197408,78.365082
Building,R1,Corn,2.242679352,0.0,2.54,19.1,48,14,0.471588533,39.766135,80.926255
Building,R1,Corn,2.31102732,0.0,1.52,19.4,49,15,0.465274023,39.276256,83.245123
Building,R1,Corn,1.607339878,0.0,1.52,22.1,50,16,0.446167622,38.201927,86.25197
Building,R1,Corn,1.196587551,0.0,1.52,27.1,51,17,0.436768616,35.896109,90.014818
Building,R1,Corn,1.858059078,0.0,0.0,25.4,52,18,0.422242395,34.689127,92.7393
Building,R1,Corn,1.500578176,0.0,0.51,26.4,55,21,0.40742919,29.656496,99.689743
Building,R1,Corn,1.532710969,0.0,0.51,28.7,56,22,0.401899764,27.768741,102.740892
Building,R1,Corn,0.0,0.0,0.51,30.4,57,23,0.386871299,25.756941,105.880953
Building,R1,Corn,0.0,0.0,0.51,30.4,58,24,0.384396676,23.967883,108.772346
Building,R1,Corn,-0.860186291,0.0,0.51,30.7,59,25,0.372140174,22.243027,111.512744
Building,R1,Corn,-0.611512687,0.0,0.0,30.1,60,26,0.367790446,21.076082,113.628439
Building,R1,Corn,0.0,0.0,0.0,24.6,61,27,0.373680051,22.400866,113.816969
Building,R1,Corn,-0.365079731,6.1,6.1,23.8,62,28,0.35981264,19.778772,112.130017
Building,R1,Corn,0.0,6.1,6.1,23.1,63,29,0.355347686,19.076381,112.465701
Building,R1,Corn,-0.420653097,0.0,6.1,23.3,64,30,0.346845538,17.945985,111.590686
Building,R1,Corn,-0.646941413,0.0,6.1,23.8,65,31,0.345059418,17.045083,111.39329
Building,R1,Corn,-0.383708989,0.0,6.1,23.9,66,32,0.339225055,16.36203,111.121888
Building,R1,Corn,-0.699160861,0.0,6.1,25.2,67,33,0.341788663,17.27676,110.323198
Building,R1,Corn,5.555901661,6.86,12.96,25.0,68,34,0.393984401,16.544929,110.52197
Building,R1,Corn,3.812068955,6.86,6.86,27.1,69,35,0.436847424,15.677225,110.656955
Building,R1,Corn,3.837211904,0.0,6.86,29.8,70,36,0.409478997,14.29002,109.603551
Building,R1,Corn,3.768554758,0.0,6.86,26.9,71,37,0.387937336,13.400606,109.079199
Building,R1,Corn,11.35170248,0.0,6.86,22.8,72,38,0.42307107,13.790962,107.792162
Building,R1,Corn,11.38092448,16.76,23.62,21.8,73,39,0.484536476,13.843244,108.090445
Building,R1,Corn,5.865573681,16.76,23.62,21.3,74,40,0.440216832,13.34679,105.601116
Building,R1,Corn,7.205057796,0.0,16.76,24.7,75,41,0.411412704,12.409279,102.232265
Building,R1,Corn,10.53682686,0.0,16.76,28.3,76,42,0.38211738,11.295314,99.584573
